landmark_id,category,location
161,http://commons.wikimedia.org/wiki/Category:Lime_Kiln_Point_State_Park,"San Juan Island,San Juan County,Washington,Pacific Northwest,Washington,Pacific States Region"
239,http://commons.wikimedia.org/wiki/Category:Illahee_State_Park,"Kitsap County,Washington,Pacific Northwest,Washington,Pacific States Region"
262,http://commons.wikimedia.org/wiki/Category:Comet_Falls,"Mount Rainier National Park,Lewis County,Washington,Pacific Northwest,Washington,Pacific States Region"
291,"http://commons.wikimedia.org/wiki/Category:St._Andrews_Episcopal_Church_(Chelan,_Washington)","Washington,Pacific Northwest,Washington,Pacific States Region"
517,http://commons.wikimedia.org/wiki/Category:Titlow_Beach,"Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
763,http://commons.wikimedia.org/wiki/Category:St._Demetrios_Greek_Orthodox_Church_(Seattle),"Washington,Pacific Northwest,Washington,Pacific States Region"
769,http://commons.wikimedia.org/wiki/Category:Beckler_Peak,"King County,Washington,United States"
798,"http://commons.wikimedia.org/wiki/Category:Granite_Mountain_(King_County,_Washington)","King County,Washington,United States"
1139,http://commons.wikimedia.org/wiki/Category:Lake_Whatcom,"Washington,Whatcom County,United States"
1255,"http://commons.wikimedia.org/wiki/Category:Bryant,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
1528,http://commons.wikimedia.org/wiki/Category:Dome_Peak,"Washington,Pacific Northwest,Washington,Pacific States Region"
1554,http://commons.wikimedia.org/wiki/Category:Potholes_Reservoir,"Washington,Pacific Northwest,Washington,Pacific States Region"
1633,"http://commons.wikimedia.org/wiki/Category:Lincoln_Theatre_(Mount_Vernon,_Washington)","Mount Vernon,Skagit County,Washington,Pacific Northwest,Washington,Pacific States Region"
1711,"http://commons.wikimedia.org/wiki/Category:Broadmoor,_Seattle,_Washington","Washington,Pacific Northwest,Washington,Pacific States Region"
2393,http://commons.wikimedia.org/wiki/Category:Steptoe_Battlefield_State_Park,"Rosalia,Whitman County,Washington,Pacific Northwest,Washington,Pacific States Region"
2501,http://commons.wikimedia.org/wiki/Category:Cypress_Island,"Washington,Skagit County,United States"
2509,http://commons.wikimedia.org/wiki/Category:Mount_Index,"Washington,King County,United States"
2532,"http://commons.wikimedia.org/wiki/Category:Yesler_Terrace,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
2574,http://commons.wikimedia.org/wiki/Category:Carkeek_Park,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
2791,http://commons.wikimedia.org/wiki/Category:Yakima_Valley_AVA,"Washington,Pacific Northwest,Washington,Pacific States Region"
2881,http://commons.wikimedia.org/wiki/Category:Mars_Hill_Church,"Washington,Pacific Northwest,Washington,Pacific States Region"
2933,http://commons.wikimedia.org/wiki/Category:Lake_Washington_Ship_Canal,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
3763,http://commons.wikimedia.org/wiki/Category:Frank_B._Cooper_School,"Washington,Pacific Northwest,Washington,Pacific States Region"
4161,"http://commons.wikimedia.org/wiki/Category:Union_Station_(Tacoma,_Washington)","Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
4270,http://commons.wikimedia.org/wiki/Category:Roosevelt_Glacier,"Washington,Pacific Northwest,Washington,Pacific States Region"
4283,http://commons.wikimedia.org/wiki/Category:Seattle_Art_Museum,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
4566,http://commons.wikimedia.org/wiki/Category:Mount_Baker_Ridge_Tunnels,"Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
4985,"http://commons.wikimedia.org/wiki/Category:Rialto_Theater_in_Tacoma,_Washington","Tacoma,Pierce County,Washington,Pacific Northwest,Washington,Pacific States Region"
5196,http://commons.wikimedia.org/wiki/Category:North_Dam,"Grant County,Washington,Pacific Northwest,Washington,Pacific States Region"
5473,http://commons.wikimedia.org/wiki/Category:Fairfax_Bridge,"Washington,Pacific Northwest,Washington,Pacific States Region"
5942,"http://commons.wikimedia.org/wiki/Category:Belltown,_Seattle,_Washington","Seattle,King County,Washington,Pacific Northwest,Washington,Pacific States Region"
6098,http://commons.wikimedia.org/wiki/Category:Bridge_of_the_Gods,"Cascade Locks,Oregon,Washington,United States"
6396,http://commons.wikimedia.org/wiki/Category:Kachess_Lake,"Kittitas County,Washington,United States"
